Run,Optimal Cost,N-Body Cost,N-Body Error,NN Run 1 Cost,NN Run 1 Error,NN Run 2 Cost,NN Run 2 Error,NN Run 3 Cost,NN Run 3 Error,NN Run 4 Cost,NN Run 4 Error,NN Run 5 Cost,NN Run 5 Error,NN Run 6 Cost,NN Run 6 Error,NN Run 7 Cost,NN Run 7 Error,NN Run 8 Cost,NN Run 8 Error,NN Run 9 Cost,NN Run 9 Error
68,2.8492,2.8492,-0.0000,2.8492,0.0000,2.8492,0.0000,2.8492,0.0000,3.0204,6.0092,2.8492,0.0000,2.8492,0.0000,2.8492,0.0000,3.0565,7.2771,2.8492,0.0000
69,2.9331,3.0738,4.7980,3.1318,6.7735,3.3973,15.8265,3.3766,15.1215,3.1540,7.5318,3.0738,4.7980,3.2688,11.4464,3.0264,3.1792,3.3088,12.8102,3.0264,3.1792
70,2.4189,2.4189,0.0000,2.6868,11.0726,2.4189,0.0000,2.4561,1.5377,2.5206,4.2030,2.4561,1.5377,2.4561,1.5377,2.6438,9.2957,2.4189,0.0000,2.4189,0.0000
71,2.8611,2.8611,-0.0000,2.8611,0.0000,3.2660,14.1526,3.1752,10.9788,3.3150,15.8624,2.9347,2.5725,2.8611,0.0000,2.8611,0.0000,2.8611,0.0000,3.0471,6.5013
72,2.8929,2.8929,0.0000,2.8929,0.0000,3.2648,12.8532,2.9969,3.5938,2.8929,0.0000,2.9969,3.5938,2.9969,3.5938,2.8929,0.0000,3.2007,10.6369,2.9337,1.4076
73,2.3673,2.5847,9.1824,2.5885,9.3419,2.5661,8.3993,2.5661,8.3993,2.5922,9.4995,2.7161,14.7350,2.6139,10.4163,2.9089,22.8792,2.4916,5.2520,2.6895,13.6096
74,2.0150,2.0150,0.0000,2.1966,9.0086,2.2178,10.0624,2.0285,0.6683,2.2235,10.3459,2.1412,6.2613,2.1287,5.6407,2.1287,5.6407,2.1412,6.2613,2.1412,6.2613
75,2.5695,2.5695,0.0000,2.6104,1.5922,2.6429,2.8546,2.5695,0.0000,2.9808,16.0063,2.5695,0.0000,2.5695,0.0000,2.5695,0.0000,2.5695,0.0000,2.5695,0.0000
76,2.9339,3.0179,2.8608,2.9339,0.0000,3.1054,5.8434,3.2268,9.9817,3.2268,9.9817,3.2268,9.9817,2.9339,0.0000,3.0520,4.0249,2.9339,0.0000,2.9339,0.0000
77,3.0533,3.0588,0.1822,3.0588,0.1822,3.1603,3.5042,3.0577,0.1435,3.2188,5.4211,3.0577,0.1435,3.2286,5.7420,3.2028,4.8976,3.0577,0.1435,3.2028,4.8976
78,2.5560,2.5560,-0.0000,3.5063,37.1808,3.1447,23.0362,2.8494,11.4795,3.0485,19.2723,3.0724,20.2041,2.8235,10.4679,3.0696,20.0972,2.8513,11.5560,2.9393,14.9967
79,2.7461,2.7461,0.0000,2.9476,7.3361,2.7461,0.0000,3.2151,17.0773,2.7461,0.0000,2.9770,8.4079,2.7461,0.0000,2.7461,-0.0000,2.8956,5.4429,2.7461,-0.0000
80,2.3787,2.3787,0.0000,2.6904,13.1029,2.7689,16.4033,2.7549,15.8113,2.7754,16.6732,2.7754,16.6732,2.6904,13.1029,2.7874,17.1813,2.7754,16.6732,2.7556,15.8438
81,2.6402,2.6402,0.0000,3.3057,25.2082,2.7944,5.8435,2.9149,10.4056,2.6402,0.0000,2.6402,0.0000,2.6402,0.0000,3.7665,42.6609,2.6402,0.0000,2.6402,0.0000
82,3.0992,3.1151,0.5136,3.5021,13.0008,3.9337,26.9262,3.3075,6.7206,3.4766,12.1771,3.3662,8.6158,3.4766,12.1771,3.4657,11.8259,3.9967,28.9598,3.9388,27.0906
83,2.7111,2.7900,2.9118,3.6249,33.7053,3.0388,12.0882,3.0388,12.0882,3.5051,29.2882,3.4403,26.8955,3.6186,33.4736,3.8219,40.9733,3.1096,14.7001,3.0388,12.0882
84,2.1464,2.1464,0.0000,2.2412,4.4139,2.1676,0.9855,2.2412,4.4139,2.2412,4.4139,2.1464,0.0000,2.1464,0.0000,2.1464,0.0000,2.1676,0.9855,2.2205,3.4485
85,2.9925,3.0880,3.1899,2.9925,0.0000,2.9925,-0.0000,3.4569,15.5158,3.4765,16.1724,3.9766,32.8851,3.9477,31.9175,3.3850,13.1152,3.4504,15.2995,3.4146,14.1044
86,2.5010,2.5054,0.1752,2.5240,0.9219,2.7939,11.7102,2.8393,13.5279,2.5240,0.9219,2.9226,16.8577,2.5240,0.9219,2.9504,17.9701,2.5240,0.9219,3.2407,29.5756
87,2.8924,2.8924,0.0000,2.8924,0.0000,3.1631,9.3575,3.4383,18.8744,3.3036,14.2163,3.2378,11.9403,3.1623,9.3302,3.2937,13.8733,3.1623,9.3302,3.3322,15.2044
